1,2;2,2
1,4;2,4
3,2;3,3
3,15;3,16
8,9;8,10
11,17;12,17
12,5;13,5
13,15;13,16
20,1;20,2
19,3;20,3
19,5;20,5
20,18;20,19
19,20;20,20
1,5;1,6
3,1;4,1
4,2;5,2
5,3;6,3
6,10;7,10
10,5;11,5
12,3;12,4
12,6;12,7
17,20;18,20
18,2;19,2
18,6;19,6
19,19
5,11;6,11
10,3;10,4
10,6;10,7
11,7;11,8
11,9;11,10
12,8;13,8
13,7;14,7
14,8;14,9
17,1;18,1
4,12;5,12
9,7;9,8
10,8
13,9;13,10
14,10;15,10
15,11;16,11
15,1;16,1
16,9;16,10
16,12;17,12
17,13;18,13
12,10;12,11
14,1;14,2
15,2
1,7;1,8
1,9;2,9
1,11;1,12
1,13;1,14
1,15;1,16
1,17;1,18
1,19;1,20
2,6;2,7
2,8;3,8
2,10;2,11
2,12;2,13
2,14;2,15
2,17;2,18
2,20;3,20
3,5;3,6
3,7
3,9;3,10
3,12;3,13
3,14;4,14
3,18;3,19
4,5;4,6
4,8;4,9
4,10;5,10
4,17;4,18
4,19;4,20
5,5;5,6
5,7;5,8
5,9;6,9
5,14;5,15
5,16;5,17
5,18;6,18
6,1;6,2
6,5;6,6
6,7;6,8
6,13;6,14
6,16;7,16
6,19;6,20
7,1;7,2
7,3;7,4
7,5;7,6
7,7;7,8
7,12;7,13
7,14;8,14
7,17;7,18
7,19;7,20
8,1;9,1
8,2;8,3
8,4;8,5
8,11;8,12
8,13;9,13
8,15;8,16
8,17;9,17
8,18;8,19
9,2;9,3
9,11;9,12
9,14;10,14
9,16;10,16
9,18;9,19
9,20;10,20
10,2;11,2
10,11;11,11
10,15;11,15
10,17;10,18
10,19;11,19
11,1;12,1
11,12;12,12
11,13;11,14
11,18
11,20;12,20
12,2;13,2
12,14;12,15
12,19;13,19
13,3;14,3
13,12;14,12
13,13;13,14
13,20;14,20
14,4;15,4
14,13;15,13
14,14;14,15
14,17;15,17
14,18;14,19
15,5;15,6
15,7;16,7
15,14;16,14
15,15;15,16
15,18;16,18
15,20;16,20
16,3;16,4
16,5;16,6
16,8;17,8
16,15;17,15
16,16;16,17
16,19;17,19
17,3;17,4
17,5;17,6
17,7;18,7
17,9;18,9
17,17;17,18
18,3;18,4
18,5
18,8;19,8
18,11;18,12
18,14;18,15
18,16;18,17
18,18
19,9;19,10
19,11;19,12
19,14;19,15
19,16;19,17
20,9;20,10
20,11;20,12
20,13;20,14
20,15;20,16
